type	name	description	githubLink	liveLink	status
chrome	Zeer Praktische Klok Versie 1.2	Een Chrome extensie.		https://chromewebstore.google.com/detail/very-practical-clock/ncooonkkjoeikgkbbljefnmhldpgdpdn	active
chrome	Battery Percentage Versie 1.0	Een Chrome extensie.		https://chromewebstore.google.com/detail/bcknfhofonlfillmlonppglflhgdbeoa	active
chrome	New Tab Organizer 1.1	Een Chrome extensie.		https://chromewebstore.google.com/detail/new-tab-organizer/llhggelkoodddbgmnmfplcmchbbkkjpk	active
chrome	Google AI Studio - File Reader	Een Chrome extensie.		https://chromewebstore.google.com/detail/google-ai-studio-file-rea/holadmfpcclmpmkdkmcanifihneflfop?authuser=0&hl=en&pli=1	active
chrome	NotebookLM Source Uploader Versie 1.2	Een Chrome extensie.		https://chromewebstore.google.com/detail/notebooklm-source-uploade/cflibmhmbbbnkjhobikinkkabplcijdj	active
chrome	YouTube Playlist Collector	Een Chrome extensie.		https://chromewebstore.google.com/detail/youtube-playlist-collecto/noadbldckkkcfkhghjehpdldgppbggde	active
chrome	Youtube Rightclick	Een Chrome extensie.		https://chromewebstore.google.com/detail/youtube-rightclick/dceebkineaajkfponfimilfebkgbcchh	active
github	URL-pulse	Een GitHub project.	https://github.com/KarelTestSpecial/url-pulse	https://kareltestspecial.github.io/url-pulse/	inactive
github	Newtab Startpage Dashboard	Een GitHub project.	https://github.com/KarelTestSpecial/startpage
github	Custom Data Tree	Een GitHub project.	https://github.com/KarelTestSpecial/custom-data-tree/	https://kareltestspecial.github.io/custom-data-tree/	active
github	Longevity Food Health data tree	Een GitHub project.	https://github.com/KarelTestSpecial/LFH/	https://kareltestspecial.github.io/LFH/	active
github	Link-in-bio-Hub	Een GitHub project.	https://github.com/KarelTestSpecial/link-in-bio-hub-repo	https://linkinbiohub.web.app	inactive
github	AI Studio File Reader	Een GitHub project.	https://github.com/KarelTestSpecial/aistudioreader
github	NotebookLM Source Uploader	Een GitHub project.	https://github.com/KarelTestSpecial/notebooklm-source-loader
github	Battery Percentage	Een GitHub project.	https://github.com/KarelTestSpecial/battery-percentage
github	Zeer Praktische Klok	Een GitHub project.	https://github.com/KarelTestSpecial/very-practical-clock
github	YouTube Rightclick CSV	Een GitHub project.	https://github.com/KarelTestSpecial/youtube-rightclick-csv
github	YouTube Playlist CSV	Een GitHub project.	https://github.com/KarelTestSpecial/youtube-playlist-csv
github	YouTube Playlist Collector	Een GitHub project.	https://github.com/KarelTestSpecial/youtube-playlist-collector
github	YouTube Playlist 2-Way Collector	Een GitHub project.	https://github.com/KarelTestSpecial/youtube-2way-collector
github	OCR combi	Een GitHub project.	https://github.com/KarelTestSpecial/ocr-combi-addon
github	Vegan BioTech Report	Een GitHub project.	https://github.com/profdrkdc/Vegan-BioTech-Report	https://profdrkdc.github.io/Vegan-BioTech-Report/	active
website	Portfolio	Mijn portfolio website.		https://kareltestspecial.github.io/portfolio/	active
website	AutiWiki	Een wiki over autisme.		https://autiwiki.com	active
website	Autiwiki (Odoo)	Een wiki over autisme, gebouwd met Odoo.		https://autiwiki.odoo.com	active
website	Longevity & Health Optimization	L&H door Manus.im		https://longevity-aaczmm.manus.space/	active
